Greek_Word,Word_1,Word_2,Word_3,Word_4,Word_5
ἄπόλυτον,as,well,as,the,term
ἄνὑπόθετον,.,Both,words,are,broad
ἄνὑπόθετον,literally,means,that,which,is
ἄπειρον,",",referring,to,what,is
πεῖραρ,(,boundary,",",limit,","
Επάρκεια,;,Latin,:,Adæquatio,)
τα,̀,συγκεχυμε,́,να,)
συγκεχυμε,́,να,),.,Later
να,),.,Later,",",the
ε,̓,κ,τω,͂,ν
κ,τω,͂,ν,καθο,́
τω,͂,ν,καθο,́,λου
ν,καθο,́,λου,),to
καθο,́,λου,),to,the
λου,),to,the,particulars,(
ε,̓,πι,̀,τα,̀
πι,̀,τα,̀,καθ,'
τα,̀,καθ,',ἑ,́
καθ,',ἑ,́,καστα,)
καστα,),.,For,the,whole
το,̀,ὁ,́,λον,)
λον,),according,to,sense,-
κατα,̀,τη,̀,ν,αἰ
τη,̀,ν,αἰ,́,σθησιν
ν,αἰ,́,σθησιν,),is
αἰ,́,σθησιν,),is,better
σθησιν,),is,better,known,(
γνωριμω,́,τερον,),",",and
τερον,),",",and,the,universal
ἑνός,",",meaning,“,one,”
λόγος,",",meaning,“,rational,discourse
ἀρχαὶ,τῆς,κρισέως,),",",to
τῆς,κρισέως,),",",to,which
κρισέως,),",",to,which,thought
ἀλήθεια,),must,be,external,to
δόξα,),and,an,“,assumption
παραδέχεσθαι,),about,the,images,of
Νοῦς,that,deceives,itself,in,this
ἀνόηταινον,),",",utterly,inept,","
Νοῦς,without,Noûs,",",and,","
εἴδωλον,),and,never,the,thing
Νοῦς,),recognizes,Being,merely,by
νόησις,),",",the,Intellect,knows
Νοῦς,),does,not,know,itself
έπιστήμη,",",meaning,“,knowledge,","
λόγια,",",which,refers,to,any
tό,Hén,",",τό,Ἕν,)
τό,Ἕν,),",",which,—
Ἕν,),",",which,—,in
πρότερος,),and,what,is,“
ΰστερος,),constitutes,one,of,the
Aπολύτον,),",",which,in,Greek
Επέκεινα,τής,οϋςίας,),.,Unity
τής,οϋςίας,),.,Unity,and
οϋςίας,),.,Unity,and,what
ἑνός,",",meaning,“,one,”
λόγος,",",meaning,“,rational,discourse
Επέκεινα,τής,οϋςίας,),.,Unity
τής,οϋςίας,),.,Unity,and
οϋςίας,),.,Unity,and,what
ἱεραρχία,",",meaning,literally,“,the
αρχία,),of,what,is,holy
ἱερός,),.,”,In,light
Oύσία,),.,Essence,or,Substance
ἴσος,),and,“,form,”
μορφή,),.,Thus,",",the
τὰ,μετὰ,τὰ,φυσικά,",",”
μετὰ,τὰ,φυσικά,",",”,which
τὰ,φυσικά,",",”,which,literally
φυσικά,",",”,which,literally,means
Μικρὸς,Kόσμος,),and,the,universe
Kόσμος,),and,the,universe,that
Mακρὸς,Kόσμος,),.,In,Traditional
Kόσμος,),.,In,Traditional,Islamic
Νοῦς,that,deceives,itself,in,this
ἀνόηταινον,),",",utterly,inept,","
Νοῦς,without,Noûs,",",Νοῦς,and
Νοῦς,and,",",in,the,view
εἴδωλον,),and,never,the,thing
Νοῦς,),recognizes,Being,merely,by
