Greek_Word,Word_1,Word_2,Word_3,Word_4,Word_5
Τριάς,),—,is,found,around
Λόγος,),of,Greek,Philosophy,with
Παράκλητος,),occurs,only,in,the
Εἰκών,Θεοϋ,),(,2,Corinthians
Θεοϋ,),(,2,Corinthians,","
Εἰκών,Θεοϋ,),",",although,in
Θεοϋ,),",",although,in,Philo
παράκλησις,",",meaning,“,an,intercession
Μεσίτης,),or,“,go,-
Εἰκών,Θεοϋ,),.,The,Lógos
Θεοϋ,),.,The,Lógos,-
Παράκλητος,),—,a,term,that
Σανδαλφών,),",",Metatron,’,s
συνάδελφος,(,co,-,brother,or
μετά,θρόνος,),",",meaning,","
θρόνος,),",",meaning,",",“
Σωτήρ,),and,Divine,Intercessors,in
ἄγγελος,(,Latin,:,angelus,)
ὁμοούσιος,;,Latin,:,consubstantialis,or
Θεοτόκος,),",",and,he,would
ὁμοούσιος,;,Latin,:,consubstantialis,or
Λόγος,),",",so,much,the
μόνος,),",",single,",",unique
Θεός,ἀληθινός,),",",and,the
ἀληθινός,),",",and,the,Word
τριθεΐα,),—,the,belief,in
Oύσία,),",",they,still,felt
Ύπόστασις,),.,He,also,tried
διθεΐα,),and,“,Tritheism,”
τριθεΐα,),than,Saint,Basil,had
Ύπόστασις,),in,the,eternal,Godhead
Πρόσωπον,;,plural,Prosopa,",",Πρόσωπα
Πρόσωπα,),",",which,may,have
διθεΐα,),and,Tritheism,(,Greek
τριθεΐα,),",",and,its,Clerical
τριθεΐα,),",",that,is,","
τριθεΐα,),is,",",of,course
ὁμοούσιος,;,Latin,:,consubstantialis,or
Νέα,Ῥώμη,;,Latin,:,Nova
Ῥώμη,;,Latin,:,Nova,Roma
Áνάστασις,τοῦ,Ἰησοῦ,),occurred,shortly
τοῦ,Ἰησοῦ,),occurred,shortly,after
Ἰησοῦ,),occurred,shortly,after,the
